,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
74,Specialization_E-COMMERCE,1.0,1.0,80,27,0.3375,53,0.6625,0.010727056019070322,0.013417721518987341,-0.22380718478794098,0.0006095184243696083
75,Specialization_Finance Management,0.0,0.0,5785,2199,0.3801210025929127,3586,0.6198789974070873,0.8736591179976162,0.9078481012658228,-0.03838680085046541,0.012100581337491978
76,Specialization_Finance Management,1.0,1.0,682,318,0.4662756598240469,364,0.533724340175953,0.1263408820023838,0.09215189873417722,0.3155453779032879,0.012100581337491978
77,Specialization_Healthcare Management,0.0,0.0,6359,2463,0.3873250511086649,3896,0.6126749488913351,0.9785458879618594,0.9863291139240506,-0.007922403882036173,0.0035691560048161193
78,Specialization_Healthcare Management,1.0,1.0,108,54,0.5,54,0.5,0.021454112038140644,0.013670886075949367,0.4506478627598518,0.0035691560048161193
79,Specialization_Hospitality Management,0.0,0.0,6389,2486,0.3891062764125841,3903,0.6108937235874159,0.9876837504966229,0.9881012658227848,-0.0004226323501069141,1.4575500904817092e-05
80,Specialization_Hospitality Management,1.0,1.0,78,31,0.3974358974358974,47,0.6025641025641025,0.012316249503377036,0.01189873417721519,0.034487465534939414,1.4575500904817092e-05
81,Specialization_Human Resource Management,0.0,0.0,5887,2249,0.3820281977237982,3638,0.6179718022762019,0.8935240365514502,0.9210126582278481,-0.030300544358900117,0.009041892798040779
82,Specialization_Human Resource Management,1.0,1.0,580,268,0.46206896551724136,312,0.5379310344827586,0.10647596344854986,0.0789873417721519,0.29863165546122594,0.009041892798040779
83,Specialization_IT Projects Management,0.0,0.0,6207,2412,0.38859352344127596,3795,0.611406476558724,0.9582836710369488,0.9607594936708861,-0.002580269222802578,0.00015786678282999313
84,Specialization_IT Projects Management,1.0,1.0,260,105,0.40384615384615385,155,0.5961538461538461,0.041716328963051254,0.039240506329113925,0.06118309599812839,0.00015786678282999313
85,Specialization_International Business,0.0,0.0,6355,2475,0.3894571203776554,3880,0.6105428796223447,0.9833134684147795,0.9822784810126582,0.0010531051453233188,6.337317508773723e-05
86,Specialization_International Business,1.0,1.0,112,42,0.375,70,0.625,0.0166865315852205,0.017721518987341773,-0.060177761006138954,6.337317508773723e-05
87,Specialization_Marketing Management,0.0,0.0,5848,2219,0.37944596443228457,3629,0.6205540355677155,0.8816050854191498,0.9187341772151899,-0.0412526215206247,0.015503358010312558
88,Specialization_Marketing Management,1.0,1.0,619,298,0.481421647819063,321,0.518578352180937,0.11839491458085022,0.08126582278481012,0.37630022613524033,0.015503358010312558
89,Specialization_Media and Advertising,0.0,0.0,6329,2462,0.389003002054037,3867,0.6109969979459631,0.9781485895907827,0.9789873417721519,-0.0008571221030465796,3.354804262754553e-05
90,Specialization_Media and Advertising,1.0,1.0,138,55,0.39855072463768115,83,0.6014492753623188,0.02185141040921732,0.0210126582278481,0.03914044019572454,3.354804262754553e-05
91,Specialization_Operations Management,0.0,0.0,6119,2351,0.38421310671678377,3768,0.6157868932832162,0.9340484704012714,0.9539240506329114,-0.02105572439633247,0.007546453487733617
92,Specialization_Operations Management,1.0,1.0,348,166,0.47701149425287354,182,0.5229885057471264,0.06595152959872864,0.04607594936708861,0.35862896403959954,0.007546453487733617
